combineId,playerId,combineYear,combinePosition,combineHeight,combineWeight,combineHand,nameFirst,nameLast,nameFull,position,collegeId,nflId,college,heightInches,weight,dob,ageAtDraft,playerProfileUrl,homeCity,homeState,homeCountry,highSchool,hsCity,hsState,hsCountry,combineArm,combine40yd,combineVert,combineBench,combineShuttle,combineBroad,combine3cone,combine60ydShuttle,combineWonderlic
10000,19870067,1987,CB,69.8,198,8.5,Michael,Adams,Michael Adams,DB,72401,2508219,Arkansas State,70,195,4/5/1964,23.07671233,http://www.nfl.com/player/MichaelAdams/2508219/profile,Shelby,MS,USA,,,,,30.5,4.42,32,13,4.6,118,,11.91,
10001,19870154,1987,C,74.8,266,10.25,John,Adickes,John Adickes,C,76706,2508242,Baylor,75,264,6/29/1964,22.84383562,http://www.nfl.com/player/JohnAdickes/2508242/profile,Queens,NY,USA,,,,,30,4.97,26.5,25,4.6,103,,,
10002,19870800,1987,FB,71.8,217,9,Tommy,Agee,Tommy Agee,FB,36849,,Auburn,72,217,,,,,,,,,,,30.75,,,15,,,,,
10003,19870121,1987,C,75,279,10.5,David,Alexander,David Alexander,C,74104,2499384,Tulsa (OK),75,285,7/28/1964,22.76438356,http://www.nfl.com/player/DavidAlexander/2499384/profile,Silver Spring,MD,USA,,,,,32.75,5.13,27.5,22,4.33,105,,,
10004,19870801,1987,WR,72.1,202,10,Lyneal,Alston,Lyneal Alston,WR,39406,2508416,Southern Miss,72,202,7/23/1964,22.77808219,http://www.nfl.com/player/LynealAlston/2508416/profile,Mobile,AL,USA,,,,,33,4.64,32,7,4.52,114,,11.85,
10005,19870201,1987,DE,76.5,273,8.75,Steve,Alvord,Steve Alvord,DT,98195,2508426,Washington,76,272,10/2/1964,22.58356164,http://www.nfl.com/player/SteveAlvord/2508426/profile,Bellingham,WA,USA,,,,,34,4.86,28.5,18,4.49,108,,,
10006,19870256,1987,CB,73.6,208,8.5,Anthony,Anderson,Anthony Anderson,DB,71245,2508463,Grambling State (LA),74,205,10/24/1964,22.52328767,http://www.nfl.com/player/AnthonyAnderson/2508463/profile,Ruston,LA,USA,,,,,32.5,4.69,31,,4.48,111,,12.17,
10007,19870224,1987,FB,72.3,220,10.25,Joe,Armentrout,Joe Armentrout,RB,53706,2508622,Wisconsin,72,220,11/4/1964,22.49315068,http://www.nfl.com/player/JoeArmentrout/2508622/profile,,,,,,,,30.5,4.71,31,18,4.16,116,,11.59,
10008,19870023,1987,OT,76,284,10.25,Bruce,Armstrong,Bruce Armstrong,OT,40292,2499455,Louisville,76,295,9/7/1965,21.65205479,http://www.nfl.com/player/BruceArmstrong/2499455/profile,Miami,FL,USA,Miami Central HS,,FL,USA,32.75,5.05,27,22,4.81,100,,,
10009,19870179,1987,FS,71.3,191,9,Gene,Atkins,Gene Atkins,DB,32307,2499467,Florida A&M,71,201,11/22/1964,22.44383562,http://www.nfl.com/player/GeneAtkins/2499467/profile,Tallahassee,FL,USA,,,,,29.75,4.58,31,14,4.55,120,,12.05,
10010,19870062,1987,TE,77,239,9.5,Robert,Awalt,Robert Awalt,TE,92115,2499479,San Diego State,77,258,4/9/1964,23.06575342,http://www.nfl.com/player/RobertAwalt/2499479/profile,Landsthul,,Germany,,,,,30.75,4.86,28,,4.45,108,,12.07,
10011,19870083,1987,WR,68,157,8.25,Stephen,Baker,Stephen Baker,WR,93740,2499504,Frenso State (CA),68,160,8/30/1964,22.6739726,http://www.nfl.com/player/StephenBaker/2499504/profile,San Antonio,TX,USA,,,,,30.25,4.6,31,,4.41,116,,11.89,
10012,19870063,1987,DT,72.1,292,9,Jerry,Ball,Jerry Ball,DT,75205,2499510,Southern Methodist,73,330,12/15/1964,22.38082192,http://www.nfl.com/player/JerryBall/2499510/profile,Beaumont,TX,USA,West Brook Senior HS,,TX,USA,31.25,5.14,24,23,4.77,96,,,
10013,19870176,1987,DT,76,250,8.5,Robert,Banks,Robert Banks,DE,46556,2508962,Notre Dame,77,259,12/10/1963,23.39726027,http://www.nfl.com/player/RobertBanks/2508962/profile,Williamsburg,VA,USA,,,,,31.5,4.98,,18,,,,,
10014,19870114,1987,WR,70.1,188,9.5,Roy,Banks,Roy Banks,WR,61920,2508963,Eastern Illlinois,70,190,11/29/1965,21.42465753,http://www.nfl.com/player/RoyBanks/2508963/profile,Detroit,MI,USA,,,,,32,4.52,32,4,4.26,114,,11.31,
10015,19870184,1987,DE,75.4,259,10,Roland,Barbay,Roland Barbay,DT,70803,2508975,Louisiana State,76,260,10/1/1964,22.58630137,http://www.nfl.com/player/RolandBarbay/2508975/profile,New Orleans,LA,USA,,,,,32.5,5.18,21.5,13,4.59,91,,,
10016,19870143,1987,RB,68.8,201,9.5,Steve,Bartalo,Steve Bartalo,RB,80523,2509098,Colorado State,69,200,7/15/1964,22.8,http://www.nfl.com/player/SteveBartalo/2509098/profile,Limestone,ME,USA,,,,,28,4.83,28.5,14,4.05,114,,11.34,
10017,19870091,1987,OLB,74.3,250,9.75,Doug,Bartlett,Doug Bartlett,DT,60115,2509104,Northern Illinois,74,250,5/22/1963,23.95068493,http://www.nfl.com/player/DougBartlett/2509104/profile,Springfield,IL,USA,,,,,30.75,4.75,31,31,4.12,112,,,
10018,19870022,1987,C,76.3,280,9.5,Harris,Barton,Harris Barton,OT,27599,2499562,North Carolina,76,292,4/19/1964,23.03835616,http://www.nfl.com/player/HarrisBarton/2499562/profile,Atlanta,GA,USA,,,,,31.75,5.03,31,24,4.46,106,,,
10019,19870802,1987,TE,75.8,235,9.25,Gerald,Bayless,Gerald Bayless,TE,43403,,Bowling Green (OH),76,235,,,,,,,,,,,32,4.82,26,,4.34,108,,11.62,
10020,19870803,1987,WR,70.8,174,9.25,Albert,Bell,Albert Bell,WR,35487,2509335,Alabama,71,174,4/23/1964,23.02739726,http://www.nfl.com/player/AlbertBell/2509335/profile,Birmingham,AL,USA,,,,,30,4.63,29.5,4,4.5,114,,12.23,
10021,19870076,1987,SS,70.8,201,8.75,Len,Bell,Len Bell,DB,47405,2509359,Indiana,71,201,3/14/1964,23.1369863,http://www.nfl.com/player/LenBell/2509359/profile,Rockford,IL,USA,,,,,30.5,4.61,30,18,4.3,106,,11.8,
10022,19870170,1987,WR,70.9,178,9,Mark,Bellini,Mark Bellini,WR,84602,2509383,BYU,71,185,1/19/1964,23.28767123,http://www.nfl.com/player/MarkBellini/2509383/profile,San Leandro,CA,USA,,,,,30,,,8,,,,,
10023,19870024,1987,RB,75,238,10,Rod,Bernstine,Rod Bernstine,RB,77843,2499637,Texas A&M,75,238,2/8/1965,22.23013699,http://www.nfl.com/player/RodBernstine/2499637/profile,Fairfield,CA,USA,,,,,32.25,4.68,29.5,18,4.39,112,,12.01,
10024,19870044,1987,ILB,74.5,226,9.25,Ray,Berry,Ray Berry,LB,76706,2499640,Baylor,74,227,10/28/1963,23.51506849,http://www.nfl.com/player/RayBerry/2499640/profile,Lovington,NM,USA,,,,,31,4.85,28.5,22,4.47,105,,12.01,
10025,19870110,1987,QB,74.4,203,10,Steve,Beuerlein,Steve Beuerlein,QB,46556,2499643,Notre Dame,75,220,3/7/1965,22.15616438,http://www.nfl.com/player/SteveBeuerlein/2499643/profile,Hollywood,CA,USA,Servite HS,,CA,USA,30,5.1,23,3,4.63,93,,,
10026,19870235,1987,WR,69.5,201,8.75,Alvin,Blount,Alvin Blount,RB,20740,2509747,Maryland,69,197,2/12/1965,22.21917808,http://www.nfl.com/player/AlvinBlount/2509747/profile,Washington,DC,USA,,,,,31.25,4.58,35,13,4.17,116,,11.08,
10027,19870804,1987,DT,74.6,254,8.75,Ron,Bohm,Ron Bohm,DT,61801,2509799,Illinois,75,254,9/3/1964,22.6630137,http://www.nfl.com/player/RonBohm/2509799/profile,Princeton,IL,USA,,,,,31.25,5.12,24.5,13,4.54,103,,,
10028,19870016,1987,DE,76.1,267,9.75,John,Bosa,John Bosa,DE,2459,2509890,Boston,76,270,1/10/1964,23.31232877,http://www.nfl.com/player/JohnBosa/2509890/profile,Keene,NH,USA,,,,,31.5,4.85,28,27,4.41,99,,,
10029,19870165,1987,CB,69,176,9.75,Stephen,Braggs,Stephen Braggs,DB,78712,2499759,Texas,69,173,8/29/1965,21.67671233,http://www.nfl.com/player/StephenBraggs/2499759/profile,Houston,TX,USA,,,,,29.75,4.55,28.5,7,4.1,111,,11.64,
10030,19870060,1987,OLB,75.1,223,9,David,Brandon,David Brandon,LB,38152,2499764,Memphis,76,238,2/9/1965,22.22739726,http://www.nfl.com/player/DavidBrandon/2499764/profile,Memphis,TN,USA,,,,,32,4.73,26.5,9,4.45,108,,12.12,
10031,19870037,1987,OG,76.3,279,9.75,Jeff,Bregel,Jeff Bregel,OG,90089,2510135,USC,76,280,5/1/1964,23.00547945,http://www.nfl.com/player/JeffBregel/2510135/profile,Redondo Beach,CA,USA,,,,,31,5.4,28.5,20,4.63,108,,,
10032,19870805,1987,WR,75,183,7.75,James,Brim,James Brim,WR,27106,,Wake Forest,75,183,,,,,,,,,,,32,4.53,32,7,4.12,116,,11.21,
10033,19870053,1987,CB,70.6,163,9.5,Lou,Brock,Lou Brock,DB,90089,2510246,USC,70,175,5/8/1964,22.98630137,http://www.nfl.com/player/LouBrock/2510246/profile,Chicago,IL,USA,,,,,31.25,,,,,,,,
10034,19870009,1987,DT,74.3,292,9.75,Jerome,Brown,Jerome Brown,DT,33124,2499848,Miami (FL),74,292,2/4/1965,22.24109589,http://www.nfl.com/player/JeromeBrown/2499848/profile,Brooksville,FL,USA,,,,,33,4.86,,17,,,,,
10035,19870182,1987,RB,72.5,218,8.5,Tom,Brown,Tom Brown,RB,15260,2510452,Pittsburgh,73,223,11/20/1964,22.44931507,http://www.nfl.com/player/TomBrown/2510452/profile,Ridgway,PA,USA,,,,,29.75,4.69,25.5,19,4.35,97,,11.8,
