,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,player_id,name,position,combine_player_ids,combine_combine_ids,passing_attempts,passing_completions,passing_yards,passing_rating,passing_touchdowns,passing_interceptions,passing_sacks,passing_sacks_yards_lost,rushing_attempts,rushing_yards,rushing_touchdowns,receiving_targets,receiving_receptions,receiving_yards,receiving_touchdowns,kick_return_attempts,kick_return_yards,kick_return_touchdowns,punt_return_attempts,punt_return_yards,punt_return_touchdowns,defense_sacks,defense_tackles,defense_tackle_assists,defense_interceptions,defense_interception_yards,defense_interception_touchdowns,defense_safeties,point_after_attemps,point_after_makes,field_goal_attempts,field_goal_makes,punting_attempts,punting_yards,punting_blocked,heights,weights,hands,age,arm,40_dash,vertical,bench,shuttle,broad,3_cone,60_shuttle,wonderlic,Player,Pos,To,CarAV,DrAV,Age,Tm,Rnd,Pick,Year
0,0,0,0,1809,Robert Blackmon,DB,19900034,10921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,0,0,17,262,0,0,0,0,0,0,0,0,0,71.3,198,9.38,22.96164384,29,4.59,33.5,12,4.27,119,,12.08,,Robert Blackmon,DB,1998,45,39,23,SEA,2,34,1990
1,1,1,1,23586,Dean Wells,LB,19930085,12405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,3,40,0,0,0,0,0,0,0,0,0,74.4,238,9.88,22.78082192,32.38,4.61,39,20,4.01,126,,11.05,,Dean Wells,LB,2001,33,20,23,SEA,4,85,1993
2,2,2,5,4310,Jerome Collins,TE,20050144,15730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.25,267,,22.69589041,,4.73,,21,,114,,,,Jerome Collins,TE,2005,0,0,23,STL,5,144,2005
3,3,3,6,2701,Preston Brown,ILB,20140073,18303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,253,200,3,46,0,0,0,0,0,0,0,0,0,73.25,251,,21.54246575,,4.86,33,23,4.26,115,6.98,,,,,,,,,,,,
4,4,4,8,11755,LaMont Jordan,RB,20010049,14729,0,2,0,39.6,0,1,0,0,936,3950,30,220,163,1334,3,38,730,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,70.3,234,,22.45753425,,4.57,37,24,,,,,,LaMont Jordan,RB,2009,30,11,22,NYJ,2,49,2001
5,5,5,13,3966,Frank Clark,DE,20150063,18618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,54,33,0,0,0,0,0,0,0,0,0,0,0,74.7,271,,21.89041096,,4.79,38.5,19,4.05,118,7.08,,,Frank Clark,DE,2021,42,20,22,SEA,2,63,2015
6,6,6,14,9175,Jackie Harris,TE,19900102,11025,0,0,0,0,0,0,0,0,1,1,0,581,408,4531,25,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,231,10,22.31232877,32.38,4.85,31.5,7,4.38,114,,12.06,,Jackie Harris,TE,2001,33,14,22,GNB,4,102,1990
7,7,7,16,2657,Ken Brown,RB,19950124,12779,0,0,0,0,0,0,0,0,350,1206,7,0,58,468,2,45,982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.5,235,9.88,23.98082192,34.13,,34.5,13,,115,,,,,,,,,,,,,
8,8,8,18,18011,MyCole Pruitt,TE,20150143,18814,0,0,0,0,0,0,0,0,0,0,0,20,14,124,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.2,251,,23.11506849,,4.58,38,17,4.37,118,7.25,,,MyCole Pruitt,TE,2021,4,1,23,MIN,5,143,2015
9,9,9,30,12559,Scott Kowalkowski,LB,19910216,11446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,29,0,0,0,0,0,0,0,0,0,72.1,227,9.13,22.6739726,33.5,4.91,28.5,,4.16,104,,11.52,,Scott Kowalkowski,LB,2001,13,3,23,PHI,8,216,1991
10,10,10,34,1477,Ricky Bell,RB,19960807,13073,0,0,0,0,0,0,0,0,880,3264,18,0,99,854,3,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.8,186,9.25,21.56438356,31,,,16,,,,,,,,,,,,,,,
11,11,11,44,19783,Chris Scott,DE,20100151,17278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,76.63,319,,22.73150685,,5.52,22.5,19,5.03,,8.24,,,,,,,,,,,,
12,12,12,48,1244,D'Wayne Bates,WR,19990071,13981,0,0,0,0,0,0,0,0,1,-2,0,123,71,901,5,1,15,0,4,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.6,215,,23.38356164,,4.59,37,,4.24,117,7.25,,,D'Wayne Bates,WR,2003,10,2,23,CHI,3,71,1999
13,13,13,51,24188,Mike Williams,WR,20050010,15950,0,0,0,0,0,0,0,0,1,0,0,267,136,1609,8,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,76.63,229,,21.31506849,,4.57,36.5,,,,,,,Mike Williams,WR,1995,2,,22,RAM,10,269,1989
14,13,13,51,24188,Mike Williams,WR,20050010,15950,0,0,0,0,0,0,0,0,1,0,0,267,136,1609,8,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,76.63,229,,21.31506849,,4.57,36.5,,,,,,,Mike Williams,WR,2011,12,4,21,DET,1,10,2005
15,13,13,51,24188,Mike Williams,WR,20050010,15950,0,0,0,0,0,0,0,0,1,0,0,267,136,1609,8,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,76.63,229,,21.31506849,,4.57,36.5,,,,,,,Mike Williams,WR,2014,25,25,23,TAM,4,101,2010
16,13,13,51,24188,Mike Williams,WR,20050010,15950,0,0,0,0,0,0,0,0,1,0,0,267,136,1609,8,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,76.63,229,,21.31506849,,4.57,36.5,,,,,,,Mike Williams,WR,2021,20,20,22,LAC,1,7,2017
17,14,14,53,17858,Bilal Powell,RB,20110126,17556,1,1,30,118.7,0,0,0,0,635,2785,12,272,190,1445,4,3,54,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,70.5,207,,22.51506849,,4.52,,18,,,,,,Bilal Powell,RB,2019,26,26,22,NYJ,4,126,2011
18,15,15,57,15176,Jack Mewhort,OT,20140059,18460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,78,309,,22.61917808,,5.37,26,28,4.64,100,7.79,,,,,,,,,,,,
19,16,16,62,18706,Victor Riley,T-G,19980027,13885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.6,333,10.75,23.46849315,36.13,5.55,23,23,5.02,91,8.77,,,,,,,,,,,,
20,17,17,66,1501,Jason Belser,DB,19920197,11673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,112,0,1,53,0,9.5,0,0,16,406,0,0,0,0,0,0,0,0,0,68.6,182,8.5,21.92876712,30.63,4.74,37,9,4.41,119,,11.63,,Jason Belser,DB,2002,47,44,22,IND,8,197,1992
21,18,18,70,201,Chas Alecxih,DT,20120597,17651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.75,296,,23.22191781,,5.31,25.5,19,4.62,99,7.74,,,,,,,,,,,,
22,19,19,72,1887,Eric Blount,WR,19930812,12117,0,0,0,0,0,0,0,0,6,27,1,10,8,54,0,19,414,0,22,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.4,234,8.88,,32.13,4.83,31,19,,,,,,Eric Blount,WR,1993,1,1,21,PHO,8,202,1992
