,player_id,name,position,combine_player_ids,season_played,passing_attempts,passing_completions,passing_yards,passing_rating,passing_touchdowns,passing_interceptions,passing_sacks,passing_sacks_yards_lost,rushing_attempts,rushing_yards,rushing_touchdowns,receiving targets,receiving_receptions,receiving_yards,receiving_touchdowns,kick_return_attempts,kick_return_yards,kick_return_touchdowns,punt_return_attempts,punt_return_yards,punt_return_touchdowns,defense_sacks,defense_tackles,defense_tackle_assists,defense_interceptions,defense_interception_yards,defense_interception_touchdowns,defense_safeties,point_after_attempts,point_after_makes,field_goal_attempts,field_goal_makes,punting_attempts,punting_yards,punting_blocked,passing_attempts_average,passing_completions_average,passing_yards_average,passing_rating_average,passing_touchdowns_average,passing_interceptions_average,passing_sacks_average,passing_sacks_yards_lost_average,rushing_attempts_average,rushing_yards_average,rushing_touchdowns_average,receiving targets_average,receiving_receptions_average,receiving_yards_average,receiving_touchdowns_average,kick_return_attempts_average,kick_return_yards_average,kick_return_touchdowns_average,punt_return_attempts_average,punt_return_yards_average,punt_return_touchdowns_average,defense_sacks_average,defense_tackles_average,defense_tackle_assists_average,defense_interceptions_average,defense_interception_yards_average,defense_interception_touchdowns_average,defense_safeties_average,point_after_attempts_average,point_after_makes_average,field_goal_attempts_average,field_goal_makes_average,punting_attempts_average,punting_yards_average,punting_blocked_average,heights,weights,hands,age,arm,40_dash,vertical,bench,shuttle,broad,3_cone,60_shuttle,wonderlic,draft_year
0,1809,Robert Blackmon,DB,19900034,9,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,0,0,17,262,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07835820895522388,0.0,0.0,0.12686567164179105,1.955223880597015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.3,198,9.38,22.96164384,29.0,4.59,33.5,12.0,4.27,119.0,7.042195121951221,12.08,,1990
1,23586,Dean Wells,LB,19930085,9,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,3,40,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01937984496124031,0.0,0.0,0.023255813953488372,0.31007751937984496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.4,238,9.88,22.78082192,32.38,4.61,39.0,20.0,4.01,126.0,7.245243902439021,11.05,,1993
5,4310,Jerome Collins,TE,20050144,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.25,267,9.942499999999999,22.69589041,33.89451923076926,4.73,28.013833992094863,21.0,4.716348547717845,114.0,7.870920245398778,11.598,,2005
6,2701,Preston Brown,ILB,20140073,4,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,253,200,3,46,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01694915254237288,4.288135593220339,3.389830508474576,0.05084745762711865,0.7796610169491526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.25,251,9.575971731448787,21.54246575,32.34203773584907,4.86,33.0,23.0,4.26,115.0,6.98,11.870966183574884,,2014
8,11755,LaMont Jordan,RB,20010049,9,0,2,0,39.6,0,1,0,0,936,3950,30,220,163,1334,3,38,730,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.016666666666666666,0.0,0.33,0.0,0.008333333333333333,0.0,0.0,7.8,32.916666666666664,0.25,1.8333333333333333,1.3583333333333334,11.116666666666667,0.025,0.31666666666666665,6.083333333333333,0.0,0.0,0.0,0.0,0.0,0.008333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.3,234,9.36008064516131,22.45753425,31.239866666666696,4.57,37.0,24.0,4.267629107981221,116.37547892720306,7.146617100371751,11.648562874251494,,2001
13,3966,Frank Clark,DE,20150063,3,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,54,33,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4444444444444444,1.2,0.7333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.7,271,9.783040000000007,21.89041096,33.42385245901642,4.79,38.5,19.0,4.05,118.0,7.08,11.871250000000002,,2015
14,9175,Jackie Harris,TE,19900102,12,0,0,0,0.0,0,0,0,0,1,1,0,581,408,4531,25,1,3,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005813953488372093,0.005813953488372093,0.0,3.377906976744186,2.372093023255814,26.343023255813954,0.14534883720930233,0.005813953488372093,0.01744186046511628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,231,10.0,22.31232877,32.38,4.85,31.5,7.0,4.38,114.0,7.870920245398778,12.06,,1990
16,2657,Ken Brown,RB,19950124,6,0,0,0,0.0,0,0,0,0,350,1206,7,0,58,468,2,45,982,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.430379746835443,15.265822784810126,0.08860759493670886,0.0,0.7341772151898734,5.924050632911392,0.02531645569620253,0.569620253164557,12.430379746835444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.5,235,9.88,23.98082192,34.13,4.604981884057968,34.5,13.0,4.267629107981221,115.0,7.146617100371751,11.648562874251494,,1995
18,18011,MyCole Pruitt,TE,20150143,2,0,0,0,0.0,0,0,0,0,0,0,0,20,14,124,0,1,12,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9523809523809523,0.6666666666666666,5.904761904761905,0.0,0.047619047619047616,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.2,251,9.942499999999999,23.11506849,33.89451923076926,4.58,38.0,17.0,4.37,118.0,7.25,11.598,,2015
30,12559,Scott Kowalkowski,LB,19910216,11,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,1,29,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006134969325153374,0.0,0.0,0.006134969325153374,0.17791411042944785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.1,227,9.13,22.6739726,33.5,4.91,28.5,21.21631205673759,4.16,104.0,7.245243902439021,11.52,,1991
