,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0_x,Unnamed: 0.1.1.1.1.1.1,player_id,name,position,college,combine_player_ids,season_played,passing_attempts,passing_completions,passing_yards,passing_rating,passing_touchdowns,passing_interceptions,passing_sacks,passing_sacks_yards_lost,rushing_attempts,rushing_yards,rushing_touchdowns,receiving targets,receiving_receptions,receiving_yards,receiving_touchdowns,kick_return_attempts,kick_return_yards,kick_return_touchdowns,punt_return_attempts,punt_return_yards,punt_return_touchdowns,defense_sacks,defense_tackles,defense_tackle_assists,defense_interceptions,defense_interception_yards,defense_interception_touchdowns,defense_safeties,point_after_attempts,point_after_makes,field_goal_attempts,field_goal_makes,punting_attempts,punting_yards,punting_blocked,passing_attempts_average,passing_completions_average,passing_yards_average,passing_rating_average,passing_touchdowns_average,passing_interceptions_average,passing_sacks_average,passing_sacks_yards_lost_average,rushing_attempts_average,rushing_yards_average,rushing_touchdowns_average,receiving targets_average,receiving_receptions_average,receiving_yards_average,receiving_touchdowns_average,kick_return_attempts_average,kick_return_yards_average,kick_return_touchdowns_average,punt_return_attempts_average,punt_return_yards_average,punt_return_touchdowns_average,defense_sacks_average,defense_tackles_average,defense_tackle_assists_average,defense_interceptions_average,defense_interception_yards_average,defense_interception_touchdowns_average,defense_safeties_average,point_after_attempts_average,point_after_makes_average,field_goal_attempts_average,field_goal_makes_average,punting_attempts_average,punting_yards_average,punting_blocked_average,heights,weights,hands,age,arm,40_dash,vertical,bench,shuttle,broad,3_cone,60_shuttle,wonderlic,Unnamed: 0_y,Player,Pos,To,CarAV,DrAV,Age,Tm,Rnd,Pick,Year,College/Univ,Missing
0,0,0,0,0,0,DB,DB,DB,DB,DB,DB,Baylor,19900034,9,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,0,0,17,262,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.078358209,0.0,0.0,0.12686567199999998,1.955223881,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.3,198,9.38,22.96164384,29.0,4.59,33.5,12.0,4.27,119.0,7.042195122000001,12.08,,11244.0,Robert Blackmon,DB,1998.0,45.0,39.0,23.0,SEA,2.0,34.0,1990.0,Baylor,False
1,1,1,1,1,1,LB,LB,LB,LB,LB,LB,Kentucky,19930085,9,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,3,40,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019379845,0.0,0.0,0.023255814,0.31007751899999997,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.4,238,9.88,22.78082192,32.38,4.61,39.0,20.0,4.01,126.0,7.245243902,11.05,,12331.0,Dean Wells,LB,2001.0,33.0,20.0,23.0,SEA,4.0,85.0,1993.0,Kentucky,False
2,2,2,2,2,2,T,T,T,T,T,T,Notre Dame,20050144,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.25,267,9.9425,22.69589041,33.89451923,4.73,28.01383399,21.0,4.716348548,114.0,7.870920245,11.597999999999999,,15425.0,Jerome Collins,TE,2005.0,0.0,0.0,23.0,STL,5.0,144.0,2005.0,Notre Dame,False
3,3,3,3,3,3,LB,LB,LB,LB,LB,LB,Louisville,20140073,4,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,253,200,3,46,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016949153,4.288135593,3.389830508,0.050847458,0.779661017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.25,251,9.575971731000001,21.54246575,32.34203774,4.86,33.0,23.0,4.26,115.0,6.98,11.87096618,,,,,,,,,,,,,,True
4,4,4,4,4,4,RB,RB,RB,RB,RB,RB,Maryland,20010049,9,0,2,0,39.6,0,1,0,0,936,3950,30,220,163,1334,3,38,730,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.016666667,0.0,0.33,0.0,0.008333333,0.0,0.0,7.8,32.91666667,0.25,1.8333333330000001,1.358333333,11.11666667,0.025,0.316666667,6.083333333,0.0,0.0,0.0,0.0,0.0,0.008333333,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.3,234,9.359638554,22.45753425,31.239911499999998,4.57,37.0,24.0,4.267629108,116.376673,7.1466171,11.64856287,,14279.0,LaMont Jordan,RB,2009.0,30.0,11.0,22.0,NYJ,2.0,49.0,2001.0,Maryland,False
5,5,5,5,5,5,DE,DE,DE,DE,DE,DE,Michigan,20150063,3,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,54,33,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.444444444,1.2,0.7333333329999999,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.7,271,9.78304,21.89041096,33.42385246,4.79,38.5,19.0,4.05,118.0,7.08,11.87125,,17946.0,Frank Clark,DE,2021.0,38.0,20.0,22.0,SEA,2.0,63.0,2015.0,Michigan,False
6,6,6,6,6,6,T,T,T,T,T,T,Louisiana-Monroe,19900102,12,0,0,0,0.0,0,0,0,0,1,1,0,581,408,4531,25,1,3,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005813953,0.005813953,0.0,3.377906977,2.372093023,26.34302326,0.14534883699999998,0.005813953,0.01744186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,231,10.0,22.31232877,32.38,4.85,31.5,7.0,4.38,114.0,7.870920245,12.06,,,,,,,,,,,,,,True
7,7,7,7,7,7,RB,RB,RB,RB,RB,RB,,19950124,6,0,0,0,0.0,0,0,0,0,350,1206,7,0,58,468,2,45,982,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.430379747,15.26582278,0.088607595,0.0,0.734177215,5.924050632999999,0.025316456,0.569620253,12.43037975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.5,235,9.88,23.98082192,34.13,4.605443038,34.5,13.0,4.267629108,115.0,7.1466171,11.64856287,,,,,,,,,,,,,,True
8,8,8,8,8,8,T,T,T,T,T,T,Southern Illinois,20150143,2,0,0,0,0.0,0,0,0,0,0,0,0,20,14,124,0,1,12,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9523809520000001,0.666666667,5.904761905,0.0,0.047619048,0.571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.2,251,9.9425,23.11506849,33.89451923,4.58,38.0,17.0,4.37,118.0,7.25,11.597999999999999,,18029.0,MyCole Pruitt,TE,2021.0,4.0,1.0,23.0,MIN,5.0,143.0,2015.0,Southern Illinois,False
9,9,9,9,9,9,LB,LB,LB,LB,LB,LB,Notre Dame,19910216,11,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,1,29,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061349690000000005,0.0,0.0,0.0061349690000000005,0.17791411,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.1,227,9.13,22.67397260000001,33.5,4.91,28.5,21.21631206,4.16,104.0,7.245243902,11.52,,11774.0,Scott Kowalkowski,LB,2001.0,13.0,3.0,23.0,PHI,8.0,216.0,1991.0,Notre Dame,False
10,10,10,10,10,10,RB,RB,RB,RB,RB,RB,USC,19960807,6,0,0,0,0.0,0,0,0,0,880,3264,18,0,99,854,3,1,10,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.33333333,49.45454545,0.272727273,0.0,1.5,12.93939394,0.045454545,0.015151515,0.151515152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.8,186,9.25,21.56438356,31.0,4.605443038,33.83308271,16.0,4.267629108,116.376673,7.1466171,11.64856287,,6726.0,Ricky Bell,RB,1982.0,24.0,24.0,22.0,TAM,1.0,1.0,1977.0,USC,False
11,11,11,11,11,11,DE,DE,DE,DE,DE,DE,Purdue,20100151,4,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.151515152,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.63,319,9.78304,22.73150685,33.42385246,5.52,22.5,19.0,5.03,113.65745859999998,8.24,11.87125,,9203.0,Chris Scott,DE,1987.0,8.0,8.0,22.0,IND,3.0,66.0,1984.0,Purdue,False
12,12,12,12,12,12,WR,WR,WR,WR,WR,WR,Northwestern,19990071,5,0,0,0,0.0,0,0,0,0,1,-2,0,123,71,901,5,1,15,0,4,93,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777778,-0.055555556,0.0,3.416666667,1.9722222219999999,25.02777778,0.13888888900000002,0.027777778,0.4166666670000001,0.0,0.111111111,2.583333333,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.6,215,9.290307692,23.38356164,31.66167364,4.59,37.0,14.91558442,4.24,117.0,7.25,11.49209302,,13783.0,D'Wayne Bates,WR,2003.0,10.0,2.0,23.0,CHI,3.0,71.0,1999.0,Northwestern,False
13,13,13,13,13,13,WR,WR,WR,WR,WR,WR,USC,20050010,7,0,0,0,0.0,0,0,0,0,1,0,0,267,136,1609,8,0,0,0,0,0,0,0.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017241378999999998,0.0,0.0,4.603448276,2.344827586,27.74137931,0.137931034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.068965517,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.63,229,9.290307692,21.31506849,31.66167364,4.57,36.5,14.91558442,4.2160810810000005,118.94144140000002,6.993472585,11.49209302,,15287.0,Mike Williams,WR,2011.0,12.0,4.0,21.0,DET,1.0,10.0,2005.0,USC,False
